agg_level_pseo,state_name,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count,grad_cohort_label
34,Alabama,S,1,5,2,11,2001,3,N,0,A,0,38181.0,54051.0,74301.0,57.0,57726.0,84494.0,111205.0,84.0,76958.0,114494.0,146626.0,90.0,111.0,111.0,111.0,1,1,1,1,1,1,1,1,1,2001-2003
34,Alabama,S,1,5,2,13,2001,3,N,0,A,0,29957.0,40893.0,51815.0,457.0,49013.0,59341.0,68312.0,494.0,51543.0,62064.0,74192.0,448.0,785.0,785.0,785.0,1,1,1,1,1,1,1,1,1,2001-2003
34,Alabama,S,1,5,2,51,2001,3,N,0,A,0,35340.0,54163.0,70194.0,312.0,52504.0,68928.0,90933.0,389.0,61085.0,80239.0,116327.0,344.0,522.0,522.0,522.0,1,1,1,1,1,1,1,1,1,2001-2003
34,Alabama,S,1,5,2,11,2004,3,N,0,A,0,43047.0,68521.0,85137.0,82.0,72156.0,94122.0,120228.0,82.0,87772.0,117867.0,156159.0,80.0,200.0,200.0,200.0,1,1,1,1,1,1,1,1,1,2004-2006
34,Alabama,S,1,5,2,13,2004,3,N,0,A,0,36047.0,46637.0,54726.0,523.0,48943.0,59521.0,69051.0,501.0,54823.0,63950.0,74705.0,463.0,679.0,679.0,679.0,1,1,1,1,1,1,1,1,1,2004-2006
34,Alabama,S,1,5,2,51,2004,3,N,0,A,0,39793.0,55073.0,73107.0,558.0,53259.0,68156.0,89587.0,625.0,58934.0,78170.0,108907.0,616.0,1047.0,1047.0,1047.0,1,1,1,1,1,1,1,1,1,2004-2006
34,Alabama,S,1,5,2,11,2007,3,N,0,A,0,53833.0,72814.0,82245.0,104.0,68578.0,85430.0,100583.0,124.0,84400.0,110004.0,148080.0,128.0,151.0,151.0,151.0,1,1,1,1,1,1,1,1,1,2007-2009
34,Alabama,S,1,5,2,13,2007,3,N,0,A,0,31038.0,44321.0,54027.0,570.0,45885.0,56245.0,63959.0,629.0,51815.0,64048.0,74360.0,590.0,742.0,742.0,742.0,1,1,1,1,1,1,1,1,1,2007-2009
34,Alabama,S,1,5,2,51,2007,3,N,0,A,0,42330.0,55454.0,67632.0,1127.0,49356.0,63638.0,82227.0,1283.0,57137.0,78248.0,107293.0,1195.0,1470.0,1470.0,1470.0,1,1,1,1,1,1,1,1,1,2007-2009
34,Alabama,S,1,5,2,11,2010,3,N,0,A,0,51505.0,65986.0,79675.0,143.0,72994.0,90984.0,114213.0,175.0,104023.0,126798.0,168949.0,169.0,225.0,225.0,225.0,1,1,1,1,1,1,1,1,1,2010-2012
