agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_grads_emp,y1_grads_emp_instate,y5_grads_emp,y5_grads_emp_instate,y10_grads_emp,y10_grads_emp_instate,y1_grads_nme,y5_grads_nme,y10_grads_nme,status_y1_grads_emp,status_y1_grads_emp_instate,status_y5_grads_emp,status_y5_grads_emp_instate,status_y10_grads_emp,status_y10_grads_emp_instate,status_y1_grads_nme,status_y5_grads_nme,status_y10_grads_nme
178,S,01,05,2,11,2001,3,D,1,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,2,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,3,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,4,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,5,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,6,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,7,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,8,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,9,S,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,1,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,2,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,3,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,4,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,5,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,6,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,7,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,8,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,9,S,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,1,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,2,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,3,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,4,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,5,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,6,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,7,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,8,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,9,S,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,1,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,2,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,3,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,4,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,5,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,6,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,7,S,23,0.0,0.0,1.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,8,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,9,S,23,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,1,S,31-33,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,2,S,31-33,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,3,S,31-33,1.0,0.0,1.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,4,S,31-33,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,5,S,31-33,3.0,0.0,7.0,0.0,2.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,6,S,31-33,5.0,4.0,7.0,5.0,1.0,1.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,7,S,31-33,1.0,0.0,1.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,8,S,31-33,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,9,S,31-33,0.0,0.0,3.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,1,S,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,2,S,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,3,S,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,4,S,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,5,S,42,0.0,0.0,1.0,0.0,1.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,6,S,42,3.0,2.0,3.0,3.0,5.0,5.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,7,S,42,0.0,0.0,1.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,8,S,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,9,S,42,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
178,S,01,05,2,11,2001,3,D,1,S,44-45,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1,5,5,5
