agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count
46,I,00105100,05,2,11,2001,3,N,00,A,00,38181.0,54051.0,74301.0,57.0,57726.0,84494.0,111205.0,84.0,76958.0,114494.0,146626.0,90.0,111.0,111.0,111.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,13,2001,3,N,00,A,00,29957.0,40893.0,51815.0,457.0,49013.0,59341.0,68312.0,494.0,51543.0,62064.0,74192.0,448.0,785.0,785.0,785.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,51,2001,3,N,00,A,00,35340.0,54163.0,70194.0,312.0,52504.0,68928.0,90933.0,389.0,61085.0,80239.0,116327.0,344.0,522.0,522.0,522.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,11,2004,3,N,00,A,00,44173.0,68098.0,85664.0,65.0,71298.0,93054.0,117529.0,70.0,83978.0,113931.0,153601.0,65.0,87.0,87.0,87.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,13,2004,3,N,00,A,00,36800.0,46963.0,54707.0,499.0,48970.0,59533.0,69154.0,484.0,55143.0,64209.0,75059.0,447.0,618.0,618.0,618.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,51,2004,3,N,00,A,00,38890.0,54173.0,71975.0,530.0,52587.0,67503.0,87712.0,607.0,58926.0,78110.0,109431.0,597.0,661.0,661.0,661.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,11,2007,3,N,00,A,00,45751.0,55464.0,76015.0,36.0,66514.0,82718.0,94389.0,54.0,89880.0,109303.0,136460.0,56.0,64.0,64.0,64.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,13,2007,3,N,00,A,00,32580.0,45132.0,54292.0,523.0,45910.0,56371.0,63813.0,578.0,51929.0,64349.0,75168.0,547.0,661.0,661.0,661.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,51,2007,3,N,00,A,00,38429.0,54938.0,67261.0,728.0,48140.0,62132.0,81429.0,904.0,55314.0,76870.0,105348.0,825.0,1031.0,1031.0,1031.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,11,2010,3,N,00,A,00,49513.0,63451.0,82426.0,39.0,73442.0,91460.0,136580.0,59.0,108603.0,143232.0,208018.0,58.0,70.0,70.0,70.0,1,1,1,1,1,1,1,1,1
