agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count
46,I,00105100,05,2,11,2001,3,N,00,A,00,38181.0,54051.0,74301.0,57.0,57726.0,84494.0,111205.0,84.0,76958.0,114494.0,146626.0,90.0,111.0,111.0,111.0,1,1,1,1,1,1,1,1,1
46,I,00105100,07,2,11,2001,5,N,00,A,00,45075.0,76393.0,86191.0,43.0,77901.0,107201.0,124613.0,62.0,95075.0,127711.0,165288.0,61.0,80.0,80.0,80.0,1,1,1,1,1,1,1,1,1
46,I,00105100,17,2,11,2001,5,N,00,A,00,,,,,,,,,,,,,13.0,13.0,13.0,5,5,5,5,5,5,1,1,1
46,I,00105100,05,2,13,2001,3,N,00,A,00,29957.0,40893.0,51815.0,457.0,49013.0,59341.0,68312.0,494.0,51543.0,62064.0,74192.0,448.0,785.0,785.0,785.0,1,1,1,1,1,1,1,1,1
46,I,00105100,07,2,13,2001,5,N,00,A,00,52949.0,62623.0,71574.0,983.0,60638.0,72384.0,81838.0,954.0,60932.0,72842.0,83811.0,929.0,1348.0,1348.0,1348.0,1,1,1,1,1,1,1,1,1
46,I,00105100,17,2,13,2001,5,N,00,A,00,77603.0,93733.0,115806.0,152.0,86507.0,100855.0,127241.0,148.0,86799.0,108321.0,130816.0,128.0,198.0,198.0,198.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,11,2004,3,N,00,A,00,44173.0,68098.0,85664.0,65.0,71298.0,93054.0,117529.0,70.0,83978.0,113931.0,153601.0,65.0,87.0,87.0,87.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,13,2004,3,N,00,A,00,36800.0,46963.0,54707.0,499.0,48970.0,59533.0,69154.0,484.0,55143.0,64209.0,75059.0,447.0,618.0,618.0,618.0,1,1,1,1,1,1,1,1,1
46,I,00105100,07,2,11,2006,5,N,00,A,00,51789.0,74055.0,97592.0,42.0,92587.0,112246.0,133708.0,53.0,121802.0,150019.0,224556.0,56.0,69.0,69.0,69.0,1,1,1,1,1,1,1,1,1
46,I,00105100,17,2,11,2006,5,N,00,A,00,,,,,,,,,,,,,14.0,14.0,14.0,5,5,5,5,5,5,1,1,1
46,I,00105100,07,2,13,2006,5,N,00,A,00,53117.0,61988.0,71647.0,694.0,55121.0,65881.0,74912.0,713.0,63733.0,68854.0,82338.0,682.0,951.0,951.0,951.0,1,1,1,1,1,1,1,1,1
46,I,00105100,17,2,13,2006,5,N,00,A,00,79711.0,100274.0,125773.0,253.0,79190.0,103294.0,124801.0,240.0,86543.0,109070.0,139651.0,210.0,220.0,220.0,220.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,11,2007,3,N,00,A,00,45751.0,55464.0,76015.0,36.0,66514.0,82718.0,94389.0,54.0,89880.0,109303.0,136460.0,56.0,64.0,64.0,64.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,13,2007,3,N,00,A,00,32580.0,45132.0,54292.0,523.0,45910.0,56371.0,63813.0,578.0,51929.0,64349.0,75168.0,547.0,661.0,661.0,661.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,11,2010,3,N,00,A,00,49513.0,63451.0,82426.0,39.0,73442.0,91460.0,136580.0,59.0,108603.0,143232.0,208018.0,58.0,70.0,70.0,70.0,1,1,1,1,1,1,1,1,1
46,I,00105100,05,2,13,2010,3,N,00,A,00,28103.0,41045.0,51223.0,720.0,46354.0,55812.0,64511.0,899.0,54531.0,63200.0,75242.0,821.0,1018.0,1018.0,1018.0,1,1,1,1,1,1,1,1,1
46,I,00105100,07,2,11,2011,5,N,00,A,00,69325.0,79157.0,98592.0,49.0,90348.0,112246.0,135371.0,61.0,,,,,75.0,75.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,17,2,11,2011,5,N,00,A,00,,,,,103464.0,137588.0,179298.0,32.0,,,,,27.0,27.0,,5,5,1,1,-1,-1,1,1,3
46,I,00105100,07,2,13,2011,5,N,00,A,00,46021.0,56639.0,67887.0,672.0,58223.0,65634.0,75262.0,684.0,,,,,918.0,918.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,17,2,13,2011,5,N,00,A,00,76563.0,95433.0,114796.0,289.0,81606.0,103509.0,126516.0,294.0,,,,,337.0,337.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,05,2,11,2013,3,N,00,A,00,56877.0,70599.0,81295.0,88.0,75771.0,92948.0,121701.0,107.0,,,,,112.0,112.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,05,2,13,2013,3,N,00,A,00,27704.0,40839.0,49639.0,828.0,50134.0,57308.0,66294.0,994.0,,,,,1227.0,1227.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,05,2,11,2016,3,N,00,A,00,62620.0,76267.0,94228.0,178.0,98044.0,121578.0,166904.0,186.0,,,,,212.0,212.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,07,2,11,2016,5,N,00,A,00,76644.0,89353.0,109303.0,33.0,,,,,,,,,41.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105100,17,2,11,2016,5,N,00,A,00,,,,,,,,,,,,,26.0,,,5,5,-1,-1,-1,-1,1,3,3
46,I,00105100,05,2,13,2016,3,N,00,A,00,29395.0,42424.0,50920.0,903.0,47905.0,56895.0,68788.0,1099.0,,,,,1360.0,1360.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105100,07,2,13,2016,5,N,00,A,00,46986.0,57985.0,65452.0,553.0,,,,,,,,,768.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105100,17,2,13,2016,5,N,00,A,00,78667.0,93744.0,113144.0,273.0,,,,,,,,,306.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105100,05,2,11,2019,3,N,00,A,00,67307.0,84494.0,101444.0,222.0,,,,,,,,,304.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105100,05,2,13,2019,3,N,00,A,00,30311.0,43915.0,50743.0,795.0,,,,,,,,,1068.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105200,07,2,11,2006,5,N,00,A,00,,,,,,,,,,,,,95.0,95.0,95.0,5,5,5,5,5,5,1,1,1
46,I,00105200,17,2,11,2006,5,N,00,A,00,,,,,,,,,,,,,18.0,18.0,18.0,5,5,5,5,5,5,1,1,1
46,I,00105200,07,2,13,2006,5,N,00,A,00,44849.0,59037.0,70012.0,158.0,53915.0,65723.0,74030.0,160.0,63950.0,69346.0,76224.0,142.0,1482.0,1482.0,1482.0,1,1,1,1,1,1,1,1,1
46,I,00105200,17,2,13,2006,5,N,00,A,00,,,,,,,,,,,,,51.0,51.0,51.0,5,5,5,5,5,5,1,1,1
46,I,00105200,18,2,13,2006,5,N,00,A,00,,,,,,,,,,,,,1.0,1.0,1.0,5,5,5,5,5,5,1,1,1
46,I,00105200,05,2,11,2010,3,N,00,A,00,44398.0,57867.0,72871.0,35.0,64402.0,82803.0,105199.0,43.0,108603.0,138999.0,161896.0,39.0,63.0,63.0,63.0,1,1,1,1,1,1,1,1,1
46,I,00105200,05,2,13,2010,3,N,00,A,00,25373.0,33018.0,44006.0,324.0,40531.0,51694.0,60410.0,446.0,53529.0,62353.0,71170.0,441.0,687.0,687.0,687.0,1,1,1,1,1,1,1,1,1
46,I,00105200,07,2,11,2011,5,N,00,A,00,57175.0,77430.0,103276.0,61.0,96354.0,121240.0,165855.0,68.0,,,,,91.0,91.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,17,2,11,2011,5,N,00,A,00,,,,,,,,,,,,,15.0,15.0,,5,5,5,5,-1,-1,1,1,3
46,I,00105200,07,2,13,2011,5,N,00,A,00,46308.0,59087.0,70040.0,1248.0,59036.0,66541.0,75381.0,1206.0,,,,,1465.0,1465.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,17,2,13,2011,5,N,00,A,00,72831.0,84822.0,106266.0,47.0,87351.0,103464.0,116743.0,37.0,,,,,50.0,50.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,18,2,13,2011,5,N,00,A,00,,,,,,,,,,,,,19.0,19.0,,5,5,5,5,-1,-1,1,1,3
46,I,00105200,05,2,11,2013,3,N,00,A,00,49171.0,65410.0,77362.0,79.0,81133.0,93789.0,118020.0,87.0,,,,,82.0,82.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,05,2,13,2013,3,N,00,A,00,25383.0,33267.0,44060.0,513.0,44439.0,52986.0,59221.0,591.0,,,,,745.0,745.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,05,2,11,2016,3,N,00,A,00,51657.0,64930.0,81043.0,88.0,85195.0,104958.0,122926.0,87.0,,,,,101.0,101.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,07,2,11,2016,5,N,00,A,00,59022.0,75729.0,107601.0,109.0,,,,,,,,,167.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105200,17,2,11,2016,5,N,00,A,00,,,,,,,,,,,,,20.0,,,5,5,-1,-1,-1,-1,1,3,3
46,I,00105200,05,2,13,2016,3,N,00,A,00,25846.0,36771.0,46176.0,442.0,46259.0,53871.0,64644.0,500.0,,,,,646.0,646.0,,1,1,1,1,-1,-1,1,1,3
46,I,00105200,07,2,13,2016,5,N,00,A,00,50676.0,58516.0,65661.0,986.0,,,,,,,,,1164.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105200,17,2,13,2016,5,N,00,A,00,,,,,,,,,,,,,22.0,,,5,5,-1,-1,-1,-1,1,3,3
46,I,00105200,18,2,13,2016,5,N,00,A,00,,,,,,,,,,,,,21.0,,,5,5,-1,-1,-1,-1,1,3,3
46,I,00105200,05,2,11,2019,3,N,00,A,00,44978.0,66779.0,80918.0,136.0,,,,,,,,,183.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105200,05,2,13,2019,3,N,00,A,00,24661.0,34231.0,45959.0,369.0,,,,,,,,,558.0,,,1,1,-1,-1,-1,-1,1,3,3
46,I,00105500,05,2,11,2004,3,N,00,A,00,,,,,,,,,,,,,113.0,113.0,113.0,5,5,5,5,5,5,1,1,1
46,I,00105500,05,2,13,2004,3,N,00,A,00,,,,,,,,,,,,,61.0,61.0,61.0,5,5,5,5,5,5,1,1,1
