agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count
26,S,01,01,A,00,0000,5,N,00,A,00,,,,,,,,,,,,,29.0,5.0,,5,5,5,5,-1,-1,1,1,3
26,S,01,02,A,00,0000,5,N,00,A,00,30437.0,44680.0,61247.0,509.0,42244.0,58699.0,74690.0,337.0,48030.0,71899.0,121578.0,74.0,440.0,188.0,90.0,1,1,1,1,1,1,4,4,4
26,S,01,05,A,00,0000,3,N,00,A,00,31646.0,46692.0,64550.0,96014.0,47963.0,65620.0,90501.0,86882.0,57170.0,80495.0,119427.0,40025.0,153707.0,117113.0,57131.0,1,1,1,1,1,1,4,4,4
26,S,01,07,A,00,0000,5,N,00,A,00,49980.0,67821.0,93646.0,40559.0,60712.0,81834.0,116013.0,24872.0,65300.0,86265.0,128966.0,10273.0,57977.0,36779.0,18995.0,1,1,1,1,1,1,1,1,1
26,S,01,17,A,00,0000,5,N,00,A,00,58650.0,78303.0,106283.0,4609.0,74977.0,100689.0,131549.0,3179.0,83401.0,111979.0,151878.0,1476.0,6819.0,4759.0,2709.0,1,1,1,1,1,1,1,1,1
26,S,01,18,A,00,0000,5,N,00,A,00,61925.0,82659.0,128092.0,6039.0,82430.0,122854.0,172233.0,3957.0,86952.0,129411.0,188679.0,1147.0,9208.0,6099.0,2878.0,1,1,1,1,1,1,4,4,1
26,S,04,01,A,00,0000,5,N,00,A,00,30719.0,44202.0,58908.0,3938.0,45377.0,62205.0,83341.0,2212.0,57598.0,84579.0,122066.0,820.0,5034.0,2827.0,1057.0,1,1,1,1,1,1,4,4,4
26,S,04,02,A,00,0000,5,N,00,A,00,30546.0,41653.0,51391.0,512.0,43137.0,53219.0,60704.0,310.0,56976.0,62620.0,69798.0,57.0,351.0,121.0,,1,1,1,1,1,1,4,4,3
26,S,04,05,A,00,0000,3,N,00,A,00,31892.0,45758.0,63746.0,291941.0,47141.0,64918.0,90704.0,241204.0,57157.0,81242.0,121499.0,117894.0,387686.0,304672.0,172490.0,1,1,1,1,1,1,4,4,4
26,S,04,07,A,00,0000,5,N,00,A,00,49265.0,66358.0,93782.0,82583.0,59024.0,79996.0,118373.0,45769.0,67200.0,91625.0,146478.0,23802.0,94911.0,63360.0,30879.0,1,1,1,1,1,1,4,4,4
