Target,Year_Label,Percentile,Major_Code,Premium_USD,P_Value
y1_p25_earnings,y1,p25,11,17094.470250969352,1.0696252924197375e-117
y1_p25_earnings,y1,p25,13,1123.7694709216025,0.07053009665706056
y1_p25_earnings,y1,p25,51,16351.068444883103,1.782052496418944e-110
y1_p50_earnings,y1,p50,11,23598.318800654906,1.2122064508422823e-146
y1_p50_earnings,y1,p50,13,181.53504388906708,0.8033437827283646
y1_p50_earnings,y1,p50,51,22248.078981001494,1.3434550528429466e-135
y1_p75_earnings,y1,p75,11,28695.546269093313,5.149930456292186e-145
y1_p75_earnings,y1,p75,13,-3478.5350571769895,0.000108132067970313
y1_p75_earnings,y1,p75,51,25286.636310419708,3.5501523062983385e-122
y5_p25_earnings,y5,p25,11,25054.526809589726,9.337579860890964e-139
y5_p25_earnings,y5,p25,13,1680.8102992586573,0.030413108213286886
y5_p25_earnings,y5,p25,51,12954.931360500519,2.299372758971953e-53
y5_p50_earnings,y5,p50,11,32652.073283843318,3.144696062009136e-136
y5_p50_earnings,y5,p50,13,-4612.112387037688,7.998092803492095e-06
y5_p50_earnings,y5,p50,51,16009.424847841527,8.665468261668397e-48
y5_p75_earnings,y5,p75,11,39951.02442028433,1.870724427556959e-110
y5_p75_earnings,y5,p75,13,-15574.463594454948,2.7113265850604467e-24
y5_p75_earnings,y5,p75,51,16769.050647671727,3.9519081040448963e-28
y10_p25_earnings,y10,p25,11,28968.850325933337,2.7145547517666806e-81
y10_p25_earnings,y10,p25,13,-1625.1299627843441,0.1726669195666781
y10_p25_earnings,y10,p25,51,9787.001309271043,1.6498417803526787e-15
y10_p50_earnings,y10,p50,11,38999.953569235855,6.875526146592696e-82
y10_p50_earnings,y10,p50,13,-12120.06619936009,2.018319006568238e-13
y10_p50_earnings,y10,p50,51,11329.12632538338,3.501467777166013e-12
y10_p75_earnings,y10,p75,11,47880.97259547988,2.837847809192106e-63
y10_p75_earnings,y10,p75,13,-29985.157737320988,5.954503337999784e-31
y10_p75_earnings,y10,p75,51,9085.978608926587,0.0001309265503000602

